feature,importance
stock_code_22576,0.0
stock_code_22577,0.0
stock_code_22578,0.0
stock_code_22579,0.0
stock_code_22580,0.0
stock_code_22581,0.0
stock_code_22585,0.0
stock_code_22588,0.0
stock_code_22589,0.0
stock_code_22591,0.0
stock_code_22592,0.0
stock_code_22593,0.0
stock_code_22594,0.0
stock_code_22595,0.0
stock_code_22597,0.0
stock_code_22598,0.0
stock_code_22599,0.0
stock_code_22600,0.0
stock_code_22601,0.0
stock_code_22602,0.0
stock_code_22603,0.0
stock_code_22614,0.0
stock_code_22617,0.0
stock_code_22618,0.0
stock_code_22619,0.0
stock_code_22620,0.0
stock_code_22622,0.0
stock_code_22623,0.0
stock_code_22624,0.0
stock_code_22630,0.0
stock_code_22632,0.0
stock_code_22633,0.0
stock_code_22634,0.0
stock_code_22637,0.0
stock_code_22644,0.0
stock_code_22645,0.0
stock_code_22646,0.0
stock_code_22649,0.0
stock_code_22650,0.0
stock_code_22652,0.0
stock_code_22654,0.0
stock_code_22661,0.0
stock_code_22662,0.0
stock_code_22665,0.0
stock_code_22666,0.0
stock_code_22667,0.0
stock_code_22669,0.0
stock_code_22670,0.0
stock_code_22676,0.0
stock_code_22690,0.0
stock_code_22692,0.0
stock_code_20754,0.0
stock_code_22697,0.0
stock_code_22698,0.0
stock_code_22704,0.0
stock_code_22726,0.0
stock_code_22727,0.0
stock_code_22728,0.0
stock_code_22729,0.0
stock_code_22734,0.0
stock_code_22737,0.0
stock_code_22739,0.0
stock_code_22740,0.0
stock_code_22743,0.0
stock_code_22744,0.0
stock_code_22745,0.0
stock_code_22746,0.0
stock_code_22747,0.0
stock_code_22748,0.0
stock_code_22749,0.0
stock_code_22750,0.0
stock_code_22752,0.0
stock_code_22753,0.0
stock_code_22754,0.0
stock_code_22755,0.0
stock_code_22758,0.0
stock_code_22766,0.0
stock_code_22771,0.0
stock_code_22772,0.0
stock_code_22773,0.0
stock_code_22774,0.0
stock_code_22775,0.0
stock_code_22776,0.0
stock_code_22779,0.0
stock_code_22780,0.0
stock_code_22784,0.0
stock_code_22789,0.0
stock_code_22791,0.0
stock_code_22792,0.0
stock_code_22795,0.0
stock_code_22797,0.0
stock_code_22798,0.0
stock_code_22800,0.0
stock_code_22801,0.0
stock_code_22804,0.0
stock_code_22805,0.0
stock_code_22807,0.0
stock_code_22809,0.0
stock_code_22810,0.0
stock_code_22812,0.0
stock_code_22818,0.0
stock_code_22834,0.0
stock_code_22835,0.0
stock_code_22837,0.0
stock_code_22838,0.0
stock_code_22839,0.0
stock_code_22840,0.0
stock_code_22842,0.0
stock_code_22844,0.0
stock_code_22846,0.0
stock_code_22847,0.0
stock_code_22855,0.0
stock_code_22862,0.0
stock_code_22865,0.0
stock_code_22866,0.0
stock_code_22867,0.0
stock_code_22890,0.0
stock_code_22892,0.0
stock_code_22900,0.0
stock_code_22907,0.0
stock_code_22909,0.0
stock_code_22910,0.0
stock_code_22938,0.0
stock_code_22940,0.0
stock_code_22941,0.0
stock_code_22942,0.0
stock_code_22943,0.0
stock_code_22952,0.0
stock_code_22959,0.0
stock_code_22983,0.0
stock_code_35400,0.0
stock_code_35832,0.0
stock_code_35961,0.0
stock_code_35970,0.0
stock_code_35971,0.0
stock_code_47559B,0.0
stock_code_47566,0.0
stock_code_47566B,0.0
stock_code_47567B,0.0
stock_code_47580,0.0
stock_code_47591D,0.0
stock_code_47599A,0.0
stock_code_48111,0.0
stock_code_48116,0.0
stock_code_48129,0.0
stock_code_48138,0.0
stock_code_48184,0.0
stock_code_48187,0.0
stock_code_48188,0.0
stock_code_48194,0.0
stock_code_71053,0.0
stock_code_71477,0.0
stock_code_72586,0.0
stock_code_72741,0.0
stock_code_72800E,0.0
stock_code_72802C,0.0
stock_code_79067,0.0
stock_code_79321,0.0
stock_code_82482,0.0
stock_code_82483,0.0
stock_code_82484,0.0
stock_code_82486,0.0
stock_code_82494L,0.0
stock_code_82580,0.0
stock_code_82581,0.0
stock_code_82600,0.0
stock_code_84029E,0.0
stock_code_84029G,0.0
stock_code_84030E,0.0
stock_code_84032A,0.0
stock_code_84032B,0.0
stock_code_84077,0.0
stock_code_84270,0.0
stock_code_84341B,0.0
stock_code_84347,0.0
stock_code_84352,0.0
stock_code_84378,0.0
stock_code_84380,0.0
stock_code_84406B,0.0
stock_code_84520B,0.0
stock_code_84670,0.0
stock_code_84754,0.0
stock_code_84755,0.0
stock_code_84832,0.0
stock_code_84836,0.0
stock_code_84879,0.0
stock_code_84945,0.0
stock_code_84946,0.0
stock_code_84947,0.0
stock_code_84949,0.0
stock_code_84970L,0.0
stock_code_84971S,0.0
stock_code_84978,0.0
stock_code_84988,0.0
stock_code_84991,0.0
stock_code_84992,0.0
stock_code_84997A,0.0
stock_code_84997B,0.0
stock_code_84997C,0.0
stock_code_84997D,0.0
stock_code_85014A,0.0
stock_code_85014B,0.0
stock_code_85039A,0.0
stock_code_85047,0.0
stock_code_85048,0.0
stock_code_85049A,0.0
stock_code_85064,0.0
stock_code_85066,0.0
stock_code_85068,0.0
stock_code_85084,0.0
stock_code_85099B,0.0
stock_code_85099C,0.0
stock_code_85099F,0.0
stock_code_85123A,0.0
stock_code_85130D,0.0
stock_code_85132A,0.0
stock_code_85132B,0.0
stock_code_85150,0.0
stock_code_85152,0.0
stock_code_85226A,0.0
stock_code_85227,0.0
stock_code_85232B,0.0
stock_code_Other,0.0
stock_code_POST,0.0
country_Australia,0.0
country_Bahrain,0.0
country_Canada,0.0
country_France,0.0
country_Germany,0.0
country_Ireland,0.0
country_Italy,0.0
country_Netherlands,0.0
country_Sweden,0.0
country_Switzerland,0.0
country_United Arab Emirates,0.0
country_United Kingdom,0.0
gender_Female,0.0
gender_Male,0.0
customer_segment_Missing,0.0
customer_segment_New,0.0
customer_segment_Regular,0.0
stock_code_10133,0.0
marketing_channel_Ads,0.0
subcategory_Decor,0.0
marketing_channel_Organic,0.0
subcategory_Cables,0.0
category_Clothing,0.0
stock_code_15036,0.0
stock_code_20668,0.0
category_Kitchen,0.0
stock_code_20681,0.0
category_Toys,0.0
subcategory_Accessories,0.0
subcategory_Appliances,0.0
subcategory_Art,0.0
subcategory_Books,0.0
stock_code_20682,0.0
stock_code_20685,0.0
stock_code_20712,0.0
subcategory_Gadgets,0.0
subcategory_Kids,0.0
subcategory_Lights,0.0
subcategory_Men,0.0
subcategory_Outdoor,0.0
subcategory_Pens,0.0
subcategory_Puzzles,0.0
subcategory_Storage,0.0
subcategory_Utensils,0.0
subcategory_Women,0.0
payment_method_Bank Transfer,0.0
payment_method_Cash,0.0
payment_method_Credit Card,0.0
discount_applied,0.0
