model,tree_depth,leaf_count,train_accuracy,test_accuracy,train_f1,test_f1,f1_gap
baseline_unconstrained_tree,37,855,1.0,0.5447870778267254,1.0,0.636150234741784,0.363849765258216
tuned_regularized_tree,4,15,0.5543318649045521,0.5198237885462555,0.6177581863979849,0.589711417816813,0.028046768581171833
