rank_test_score,mean_test_score,mean_train_score,gap,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha
1,0.6466254918885312,0.7191151057156431,0.07248961382711183,0.05139540221063362,gini,8,5,10,0.001
2,0.6454080740418663,0.7077092573730074,0.0623011833311411,0.05074349857509486,gini,8,5,40,0.001
3,0.6446561607259593,0.7152203591504739,0.07056419842451456,0.05026055809467894,gini,8,5,20,0.001
4,0.6395119829271374,0.6627218299935749,0.023209847066437472,0.06859166980839851,gini,4,5,10,0.0
4,0.6395119829271374,0.6627218299935749,0.023209847066437472,0.06859166980839851,gini,4,5,20,0.0
4,0.6395119829271374,0.6629639237597423,0.023451940832604934,0.06859166980839851,gini,4,5,40,0.0
4,0.6395119829271374,0.6627218299935749,0.023209847066437472,0.06859166980839851,gini,4,5,10,0.0005
4,0.6395119829271374,0.6627218299935749,0.023209847066437472,0.06859166980839851,gini,4,5,20,0.0005
4,0.6395119829271374,0.6629639237597423,0.023451940832604934,0.06859166980839851,gini,4,5,40,0.0005
10,0.6316267273538433,0.6691816956744467,0.037554968320603455,0.057200243011718936,gini,4,10,10,0.001
10,0.6316267273538433,0.6691816956744467,0.037554968320603455,0.057200243011718936,gini,4,10,20,0.001
10,0.6316267273538433,0.6691816956744467,0.037554968320603455,0.057200243011718936,gini,4,10,40,0.001
13,0.6276878190529059,0.6682143406298418,0.040526521576935814,0.05348745154358684,entropy,4,10,40,0.0
13,0.6276878190529059,0.6682143406298418,0.040526521576935814,0.05348745154358684,entropy,4,10,40,0.0005
13,0.6276878190529059,0.6682143406298418,0.040526521576935814,0.05348745154358684,entropy,4,10,40,0.001
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,10,0.0
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,20,0.0
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,10,0.0005
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,20,0.0005
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,10,0.001
16,0.627191038322769,0.6673040951542731,0.040113056831504124,0.05351105186368472,entropy,4,10,20,0.001
22,0.6269997328276835,0.6673040951542731,0.04030436232658963,0.053525056190101235,gini,4,10,40,0.0
22,0.6269997328276835,0.6673040951542731,0.04030436232658963,0.053525056190101235,gini,4,10,40,0.0005
24,0.626490863279008,0.6663773808574354,0.039886517578427316,0.05357559205095622,gini,4,10,10,0.0
24,0.626490863279008,0.6663773808574354,0.039886517578427316,0.05357559205095622,gini,4,10,20,0.0
24,0.626490863279008,0.6663773808574354,0.039886517578427316,0.05357559205095622,gini,4,10,10,0.0005
24,0.626490863279008,0.6663773808574354,0.039886517578427316,0.05357559205095622,gini,4,10,20,0.0005
28,0.6207214811520774,0.6629772994405535,0.04225581828847613,0.04785606205145337,entropy,4,20,10,0.0
